Category: All categories

Month,economic anxiety: (United States)
2015-01,0
2015-02,0
2015-03,0
2015-04,24
2015-05,21
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,19
2015-11,0
2015-12,20
2016-01,0
2016-02,23
2016-03,36
2016-04,45
2016-05,0
2016-06,24
2016-07,21
2016-08,28
2016-09,16
2016-10,35
2016-11,57
2016-12,19
2017-01,30
2017-02,42
2017-03,38
2017-04,39
2017-05,30
2017-06,19
2017-07,24
2017-08,38
2017-09,24
2017-10,29
2017-11,30
2017-12,26
2018-01,25
2018-02,35
2018-03,31
2018-04,38
2018-05,36
2018-06,23
2018-07,20
2018-08,30
2018-09,25
2018-10,51
2018-11,28
2018-12,0
2019-01,22
2019-02,30
2019-03,26
2019-04,38
2019-05,13
2019-06,16
2019-07,27
2019-08,0
2019-09,24
2019-10,21
2019-11,26
2019-12,17
2020-01,19
2020-02,34
2020-03,53
2020-04,42
2020-05,30
2020-06,29
2020-07,24
2020-08,23
2020-09,38
2020-10,42
2020-11,26
2020-12,16
2021-01,25
2021-02,30
2021-03,19
2021-04,35
2021-05,28
2021-06,24
2021-07,0
2021-08,0
2021-09,30
2021-10,19
2021-11,25
2021-12,0
2022-01,21
2022-02,41
2022-03,44
2022-04,66
2022-05,52
2022-06,26
2022-07,28
2022-08,16
2022-09,36
2022-10,37
2022-11,49
2022-12,46
2023-01,38
2023-02,52
2023-03,66
2023-04,47
2023-05,49
2023-06,24
2023-07,21
2023-08,24
2023-09,44
2023-10,50
2023-11,57
2023-12,35
2024-01,31
2024-02,72
2024-03,73
2024-04,78
2024-05,62
2024-06,41
2024-07,36
2024-08,31
2024-09,59
2024-10,70
2024-11,100
2024-12,59
