Category: All categories

Month,gas price: (United States)
2015-01,17
2015-02,10
2015-03,9
2015-04,8
2015-05,9
2015-06,8
2015-07,11
2015-08,12
2015-09,11
2015-10,10
2015-11,10
2015-12,10
2016-01,13
2016-02,11
2016-03,9
2016-04,9
2016-05,8
2016-06,8
2016-07,9
2016-08,8
2016-09,9
2016-10,8
2016-11,8
2016-12,8
2017-01,10
2017-02,8
2017-03,8
2017-04,9
2017-05,9
2017-06,9
2017-07,9
2017-08,10
2017-09,13
2017-10,9
2017-11,10
2017-12,10
2018-01,11
2018-02,10
2018-03,10
2018-04,12
2018-05,15
2018-06,12
2018-07,12
2018-08,11
2018-09,11
2018-10,11
2018-11,14
2018-12,14
2019-01,13
2019-02,12
2019-03,12
2019-04,16
2019-05,14
2019-06,15
2019-07,14
2019-08,13
2019-09,14
2019-10,14
2019-11,13
2019-12,12
2020-01,13
2020-02,14
2020-03,24
2020-04,23
2020-05,13
2020-06,10
2020-07,9
2020-08,10
2020-09,10
2020-10,10
2020-11,11
2020-12,10
2021-01,13
2021-02,19
2021-03,20
2021-04,14
2021-05,25
2021-06,16
2021-07,17
2021-08,16
2021-09,16
2021-10,24
2021-11,23
2021-12,17
2022-01,18
2022-02,32
2022-03,100
2022-04,35
2022-05,53
2022-06,77
2022-07,50
2022-08,37
2022-09,31
2022-10,34
2022-11,27
2022-12,28
2023-01,25
2023-02,24
2023-03,22
2023-04,25
2023-05,23
2023-06,22
2023-07,24
2023-08,24
2023-09,25
2023-10,25
2023-11,23
2023-12,22
2024-01,20
2024-02,20
2024-03,21
2024-04,23
2024-05,21
2024-06,22
2024-07,20
2024-08,20
2024-09,22
2024-10,19
2024-11,19
2024-12,17
