"date","keyword","trends_index"
2015-01-01,"unemployment",7
2015-01-01,"gas",17
2015-01-01,"anxiety",0
2015-02-01,"unemployment",6
2015-02-01,"gas",10
2015-02-01,"anxiety",0
2015-03-01,"unemployment",6
2015-03-01,"gas",9
2015-03-01,"anxiety",0
2015-04-01,"unemployment",6
2015-04-01,"gas",8
2015-04-01,"anxiety",24
2015-05-01,"unemployment",5
2015-05-01,"gas",9
2015-05-01,"anxiety",21
2015-06-01,"unemployment",6
2015-06-01,"gas",8
2015-06-01,"anxiety",0
2015-07-01,"unemployment",6
2015-07-01,"gas",11
2015-07-01,"anxiety",0
2015-08-01,"unemployment",5
2015-08-01,"gas",12
2015-08-01,"anxiety",0
2015-09-01,"unemployment",5
2015-09-01,"gas",11
2015-09-01,"anxiety",0
2015-10-01,"unemployment",5
2015-10-01,"gas",10
2015-10-01,"anxiety",19
2015-11-01,"unemployment",5
2015-11-01,"gas",10
2015-11-01,"anxiety",0
2015-12-01,"unemployment",5
2015-12-01,"gas",10
2015-12-01,"anxiety",20
2016-01-01,"unemployment",7
2016-01-01,"gas",13
2016-01-01,"anxiety",0
2016-02-01,"unemployment",6
2016-02-01,"gas",11
2016-02-01,"anxiety",23
2016-03-01,"unemployment",5
2016-03-01,"gas",9
2016-03-01,"anxiety",36
2016-04-01,"unemployment",5
2016-04-01,"gas",9
2016-04-01,"anxiety",45
2016-05-01,"unemployment",5
2016-05-01,"gas",8
2016-05-01,"anxiety",0
2016-06-01,"unemployment",5
2016-06-01,"gas",8
2016-06-01,"anxiety",24
2016-07-01,"unemployment",5
2016-07-01,"gas",9
2016-07-01,"anxiety",21
2016-08-01,"unemployment",5
2016-08-01,"gas",8
2016-08-01,"anxiety",28
2016-09-01,"unemployment",4
2016-09-01,"gas",9
2016-09-01,"anxiety",16
2016-10-01,"unemployment",4
2016-10-01,"gas",8
2016-10-01,"anxiety",35
2016-11-01,"unemployment",5
2016-11-01,"gas",8
2016-11-01,"anxiety",57
2016-12-01,"unemployment",5
2016-12-01,"gas",8
2016-12-01,"anxiety",19
2017-01-01,"unemployment",6
2017-01-01,"gas",10
2017-01-01,"anxiety",30
2017-02-01,"unemployment",5
2017-02-01,"gas",8
2017-02-01,"anxiety",42
2017-03-01,"unemployment",5
2017-03-01,"gas",8
2017-03-01,"anxiety",38
2017-04-01,"unemployment",5
2017-04-01,"gas",9
2017-04-01,"anxiety",39
2017-05-01,"unemployment",4
2017-05-01,"gas",9
2017-05-01,"anxiety",30
2017-06-01,"unemployment",4
2017-06-01,"gas",9
2017-06-01,"anxiety",19
2017-07-01,"unemployment",5
2017-07-01,"gas",9
2017-07-01,"anxiety",24
2017-08-01,"unemployment",4
2017-08-01,"gas",10
2017-08-01,"anxiety",38
2017-09-01,"unemployment",4
2017-09-01,"gas",13
