Category: All categories

Month,unemployment: (United States)
2015-01,7
2015-02,6
2015-03,6
2015-04,6
2015-05,5
2015-06,6
2015-07,6
2015-08,5
2015-09,5
2015-10,5
2015-11,5
2015-12,5
2016-01,7
2016-02,6
2016-03,5
2016-04,5
2016-05,5
2016-06,5
2016-07,5
2016-08,5
2016-09,4
2016-10,4
2016-11,5
2016-12,5
2017-01,6
2017-02,5
2017-03,5
2017-04,5
2017-05,4
2017-06,4
2017-07,5
2017-08,4
2017-09,4
2017-10,4
2017-11,4
2017-12,5
2018-01,6
2018-02,5
2018-03,4
2018-04,4
2018-05,4
2018-06,4
2018-07,5
2018-08,4
2018-09,4
2018-10,4
2018-11,4
2018-12,5
2019-01,6
2019-02,5
2019-03,4
2019-04,4
2019-05,4
2019-06,4
2019-07,5
2019-08,4
2019-09,4
2019-10,4
2019-11,4
2019-12,5
2020-01,6
2020-02,5
2020-03,44
2020-04,100
2020-05,70
2020-06,59
2020-07,59
2020-08,51
2020-09,44
2020-10,34
2020-11,27
2020-12,36
2021-01,46
2021-02,37
2021-03,35
2021-04,30
2021-05,31
2021-06,28
2021-07,24
2021-08,21
2021-09,16
2021-10,9
2021-11,8
2021-12,7
2022-01,9
2022-02,8
2022-03,7
2022-04,6
2022-05,5
2022-06,5
2022-07,6
2022-08,5
2022-09,4
2022-10,4
2022-11,5
2022-12,5
2023-01,6
2023-02,6
2023-03,5
2023-04,5
2023-05,5
2023-06,5
2023-07,5
2023-08,5
2023-09,5
2023-10,5
2023-11,5
2023-12,6
2024-01,6
2024-02,5
2024-03,5
2024-04,5
2024-05,5
2024-06,5
2024-07,5
2024-08,5
2024-09,5
2024-10,5
2024-11,5
2024-12,5
